服务器,服务器地理位置,服务器端口,客户端,客户端地理位置,TCP/UDP,应用,协议,总字节数,每秒字节数,客户端字节数,服务器字节数,总数据包,每秒数据包数,比特率,客户端比特率,服务器比特率,客户端数据包数,服务器数据包数,会话开始时间,会话持续时间,TCP同步包,TCP同步确认包,客户端TCP重置包,服务器TCP重置包,三次握手次数,三次握手平均时间,客户端平均ACK时延,服务器平均ACK时延,三次握手平均客户端RTT,三次握手平均服务器RTT,客户端三次握手总时延,服务器三次握手总时延,TCP交易请求次数,TCP交易响应次数,服务器总响应时间,客户端请求平均传输时间,服务器响应平均传输时间,会话总数,活动会话数,客户端字节数（有效载荷）,客户端数据包数（有效载荷）,服务器字节数（有效载荷）,服务器数据包数（有效载荷）,客户端TCP重传包,服务器TCP重传包,客户端TCP结束包,服务器TCP结束包,TCP三次握手客户端确认包,TCP乱序包数,客户端TCP乱序包数,服务器TCP乱序包数,创建会话数,关闭会话数,每秒创建会话数,每秒关闭会话数,TCP重传包,每秒活动会话数,连接建立无响应次数,连接无响应率,TCP重置包
,局域网,67,,局域网,UDP,DHCP,DHCP,2653,0.0307,2653,0,7,0,0.2456,0.2456,0,7,0,2023/9/26 16:31,7.33E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,,-,,-,-,-,-,-,-,-,-,-,0,7,0,0,-,0,-,-,-
,局域网,67,,局域网,UDP,DHCP,DHCP,2653,0.0307,2653,0,7,0,0.2456,0.2456,0,7,0,2023/9/26 16:31,7.319E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,,-,,-,-,-,-,-,-,-,-,-,0,7,0,0,-,0,-,-,-
,局域网,67,,局域网,UDP,DHCP,DHCP,2653,0.0307,2653,0,7,0,0.2456,0.2456,0,7,0,2023/9/26 16:30,7.332E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,,-,,-,-,-,-,-,-,-,-,-,0,7,0,0,-,0,-,-,-
,局域网,67,,局域网,UDP,DHCP,DHCP,2653,0.0307,2653,0,7,0,0.2456,0.2456,0,7,0,2023/9/26 16:30,7.33E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,,-,,-,-,-,-,-,-,-,-,-,0,7,0,0,-,0,-,-,-
,局域网,37777,,局域网,TCP,未知TCP应用,TCP,2590,0.0299,2590,0,37,0.0004,0.2398,0.2398,0,37,0,2023/9/26 16:13,5000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,"中国,,,,114DNS",53,,局域网,UDP,DNS,DNS,2464,0.0285,2464,0,28,0.0003,0.2281,0.2281,0,28,0,2023/9/26 16:22,2.4255E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,0,,-,,-,-,-,-,-,-,-,-,-,0,28,0,0.0003,-,0,-,-,-
,局域网,33720,,局域网,TCP,未知TCP应用,TCP,2450,0.0283,0,2450,35,0.0004,0.2268,0,0.2268,0,35,2023/9/26 16:13,5000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,局域网,67,,局域网,UDP,DHCP,DHCP,2274,0.0263,2274,0,6,0,0.2105,0.2105,0,6,0,2023/9/26 16:30,7.347E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,,-,,-,-,-,-,-,-,-,-,-,0,6,0,0,-,0,-,-,-
,"中国,,,,114DNS",53,,局域网,UDP,DNS,DNS,2112,0.0244,2112,0,24,0.0002,0.1955,0.1955,0,24,0,2023/9/26 17:56,2.1448E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,0,,-,,-,-,-,-,-,-,-,-,-,0,24,0,0.0002,-,0,-,-,-
,"中国,,,,114DNS",53,,局域网,UDP,DNS,DNS,2112,0.0244,2112,0,24,0.0002,0.1955,0.1955,0,24,0,2023/9/26 16:55,2.3997E+13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,0,,-,,-,-,-,-,-,-,-,-,-,0,24,0,0.0002,-,0,-,-,-
